booking_id,check_in,nights,lead_time_days,adults,children,country,room_type,market_segment,adr_eur,is_cancelled,revenue_eur
197,2025-11-17,11,164,2,1,France,Standard,Travel Agency,45.0,0,495.0
198,2026-03-11,4,69,1,0,Italy,Deluxe,Travel Agency,201.32,0,805.28
199,2025-01-29,4,72,2,2,Italy,Standard,OTA,80.47,1,0.0
200,2025-01-12,13,79,2,2,Greece,Standard,OTA,50.71,1,0.0
201,2025-10-03,2,145,3,0,Portugal,Standard,Direct,122.39,0,244.78
202,2025-11-19,2,79,1,0,Turkey,Family,OTA,222.43,0,444.86
203,2025-11-19,13,100,4,0,France,Standard,Travel Agency,84.38,0,1096.94
204,2026-02-22,12,128,1,2,France,Standard,Corporate,46.58,1,0.0
205,2026-05-04,10,9,2,0,France,Family,Direct,163.64,0,1636.4
206,2025-04-06,12,59,2,0,France,Suite,Travel Agency,234.53,0,2814.36
207,2026-04-04,13,33,2,0,UAE,Suite,Corporate,241.31,0,3137.03
208,2025-02-10,12,174,2,0,Greece,Suite,Direct,213.48,0,2561.76
209,2025-06-06,10,160,2,0,Spain,Superior,Travel Agency,134.45,1,0.0
210,2025-03-31,8,24,2,0,France,Deluxe,OTA,97.36,1,0.0
211,2025-03-11,5,147,2,0,Italy,Standard,OTA,108.84,0,544.2
212,2026-04-17,5,121,2,1,France,Standard,Corporate,114.66,0,573.3
213,2025-02-10,6,73,2,1,France,Family,Travel Agency,165.97,0,995.82
214,2026-06-09,14,159,2,0,Italy,Family,Corporate,173.4,0,2427.6
215,2025-09-27,11,10,3,0,Greece,Suite,Direct,278.25,0,3060.75
216,2025-06-08,14,26,2,1,France,Suite,Corporate,256.62,0,3592.68
217,2025-03-16,4,99,2,0,UAE,Family,Corporate,166.82,0,667.28
218,2026-04-22,2,21,2,0,Egypt,Family,OTA,169.66,0,339.32
219,2026-02-16,6,16,2,0,Portugal,Superior,Corporate,122.79,0,736.74
220,2025-04-28,5,116,1,2,France,Family,OTA,223.38,0,1116.9
221,2025-08-07,6,145,1,2,Egypt,Standard,Travel Agency,75.42,0,452.52
222,2026-03-17,8,54,1,0,Spain,Family,Travel Agency,166.08,0,1328.64
223,2025-09-16,11,45,1,0,Italy,Deluxe,Corporate,151.13,0,1662.43
224,2025-03-25,5,115,2,2,Greece,Deluxe,OTA,151.28,0,756.4
225,2025-02-25,2,109,2,0,France,Superior,Travel Agency,118.07,0,236.14
226,2026-03-06,8,121,3,0,Egypt,Deluxe,Corporate,148.47,0,1187.76
227,2025-01-11,9,152,2,0,France,Deluxe,Travel Agency,180.52,0,1624.68
228,2025-01-15,3,117,2,1,UAE,Standard,Corporate,58.08,0,174.24
229,2025-09-27,9,0,2,0,Portugal,Suite,Direct,250.87,0,2257.83
230,2025-02-07,4,48,2,2,France,Suite,Corporate,251.89,1,0.0
231,2025-08-10,6,53,2,2,Spain,Deluxe,Travel Agency,130.11,0,780.66
232,2025-01-17,5,78,3,0,Portugal,Family,Corporate,185.61,0,928.05
233,2026-02-25,6,90,3,1,UAE,Standard,OTA,92.57,0,555.42
234,2026-04-15,7,95,2,2,France,Suite,Corporate,177.67,0,1243.69
235,2026-01-26,5,168,4,1,Turkey,Suite,Direct,215.86,0,1079.3
236,2025-03-31,13,26,1,0,Egypt,Standard,Corporate,120.73,0,1569.49
237,2025-04-13,11,113,3,2,Spain,Deluxe,Corporate,135.46,0,1490.06
238,2025-08-05,4,116,3,1,Italy,Superior,Corporate,80.65,0,322.6
239,2025-05-08,6,118,2,1,Spain,Deluxe,OTA,104.21,0,625.26
240,2026-06-04,5,68,4,0,Turkey,Family,OTA,148.72,0,743.6
241,2025-01-05,7,8,1,0,France,Deluxe,Travel Agency,147.41,0,1031.87
242,2025-12-10,3,146,2,0,Egypt,Superior,Corporate,79.02,0,237.06
243,2025-02-22,13,147,2,0,Egypt,Superior,Corporate,126.97,1,0.0
244,2025-11-22,9,40,2,0,Italy,Superior,Direct,89.69,0,807.21
245,2026-02-06,14,160,2,2,France,Deluxe,OTA,158.27,0,2215.78
246,2025-04-06,2,6,2,0,France,Standard,Direct,116.28,0,232.56
247,2026-01-27,1,33,2,0,France,Superior,OTA,144.41,0,144.41
248,2025-11-01,4,137,2,1,Turkey,Standard,Travel Agency,87.83,0,351.32
249,2025-03-26,3,160,1,2,Italy,Standard,Corporate,52.21,0,156.63
250,2025-05-06,2,36,2,0,France,Standard,Direct,79.1,0,158.2
251,2026-05-22,14,92,2,1,Italy,Family,Direct,183.67,0,2571.38
252,2026-02-28,2,124,4,0,Greece,Family,Corporate,237.79,1,0.0
253,2025-11-18,11,115,2,0,Turkey,Standard,OTA,45.0,0,495.0
254,2025-02-02,2,87,2,1,Spain,Superior,Travel Agency,109.19,1,0.0
255,2025-05-05,4,155,1,2,Spain,Suite,OTA,256.01,1,0.0
256,2025-08-10,14,93,1,0,Spain,Deluxe,OTA,153.08,0,2143.12
257,2025-08-14,2,177,2,0,Turkey,Family,OTA,180.82,0,361.64
258,2025-04-05,6,141,4,0,Portugal,Family,Corporate,156.08,0,936.48
259,2026-06-09,7,49,2,0,Greece,Deluxe,Corporate,173.96,0,1217.72
260,2025-04-16,10,150,2,0,Greece,Family,Corporate,176.29,1,0.0
261,2026-04-02,7,152,4,0,UAE,Suite,Direct,245.73,0,1720.11
262,2026-01-28,7,51,3,0,UAE,Standard,Corporate,106.86,0,748.02
263,2025-06-21,1,130,2,2,Egypt,Deluxe,Travel Agency,142.56,0,142.56
264,2026-02-12,1,29,2,0,Egypt,Superior,Travel Agency,142.8,0,142.8
265,2025-09-09,2,55,4,0,UAE,Superior,Travel Agency,78.25,0,156.5
266,2025-05-06,1,81,4,0,UAE,Superior,Corporate,117.17,0,117.17
267,2025-11-26,4,143,1,1,Turkey,Suite,OTA,219.62,0,878.48
268,2026-06-24,4,26,3,0,Italy,Suite,Corporate,213.34,0,853.36
269,2026-03-22,6,81,2,0,Spain,Family,Corporate,223.01,1,0.0
270,2025-02-17,5,107,1,0,Portugal,Superior,Travel Agency,79.43,1,0.0
271,2026-01-28,4,147,1,0,Spain,Suite,Direct,241.78,0,967.12
272,2026-04-18,5,33,2,0,Spain,Deluxe,Direct,117.66,0,588.3
273,2025-03-13,8,24,2,0,Turkey,Deluxe,Travel Agency,180.99,1,0.0
274,2026-02-14,2,142,2,1,Spain,Family,Travel Agency,165.09,0,330.18
275,2026-04-11,8,164,1,0,Italy,Standard,OTA,106.71,0,853.68
276,2025-02-18,14,2,2,0,UAE,Family,OTA,190.1,1,0.0
277,2025-06-24,2,48,4,0,Spain,Standard,Travel Agency,137.59,0,275.18
278,2025-02-14,2,12,2,0,Turkey,Deluxe,Corporate,113.01,0,226.02
279,2025-10-04,12,43,2,2,Portugal,Standard,OTA,55.67,0,668.04
280,2025-11-23,14,37,3,1,Portugal,Standard,OTA,105.18,1,0.0
281,2026-05-05,11,125,2,0,Portugal,Superior,Direct,118.4,0,1302.4
282,2025-09-28,13,75,4,0,UAE,Suite,OTA,234.31,0,3046.03
283,2025-07-30,12,19,1,1,Spain,Superior,Direct,161.25,0,1935.0
284,2025-08-10,8,98,2,1,Italy,Deluxe,OTA,150.02,0,1200.16
285,2026-06-25,9,80,2,1,France,Suite,Direct,220.5,0,1984.5
286,2025-05-14,4,93,2,1,Greece,Family,OTA,202.05,0,808.2
287,2025-03-12,5,108,2,0,Italy,Superior,Corporate,110.85,0,554.25
288,2025-04-20,12,28,2,0,Portugal,Superior,Travel Agency,112.78,0,1353.36
289,2025-01-30,8,169,3,1,UAE,Deluxe,Direct,167.32,0,1338.56
290,2025-03-28,6,110,2,0,Egypt,Suite,Corporate,258.37,0,1550.22
291,2026-06-05,6,13,2,0,UAE,Standard,Direct,55.35,0,332.1
292,2026-01-27,12,108,2,0,Greece,Family,OTA,167.9,0,2014.8
293,2025-10-10,9,155,2,2,Egypt,Standard,Direct,45.68,0,411.12
294,2025-09-12,2,56,1,0,Spain,Suite,Travel Agency,248.79,0,497.58
295,2025-09-02,2,136,1,0,Greece,Suite,Corporate,287.44,0,574.88
296,2026-02-06,7,25,2,0,Portugal,Superior,OTA,86.3,0,604.1
297,2025-07-28,6,163,2,2,Turkey,Standard,Direct,45.0,0,270.0
298,2025-07-09,9,179,3,1,Turkey,Superior,OTA,94.18,0,847.62
299,2025-11-19,11,17,2,0,UAE,Family,OTA,169.1,0,1860.1
300,2025-01-14,11,121,2,0,Spain,Superior,Travel Agency,128.6,0,1414.6
301,2025-03-20,3,173,1,2,UAE,Family,Direct,166.52,0,499.56
302,2026-05-16,14,63,2,0,Spain,Standard,Travel Agency,89.25,0,1249.5
303,2025-08-22,9,128,2,0,Italy,Standard,Travel Agency,67.58,0,608.22
304,2025-12-10,8,125,4,0,Turkey,Family,Travel Agency,170.44,1,0.0
305,2026-01-09,8,3,2,0,UAE,Suite,Corporate,219.72,0,1757.76
306,2025-04-26,5,175,3,0,France,Family,OTA,147.15,0,735.75
307,2025-05-26,6,127,1,0,Egypt,Deluxe,OTA,169.57,0,1017.42
308,2025-04-02,4,96,4,0,Turkey,Suite,Corporate,229.22,0,916.88
309,2026-06-24,3,67,4,0,UAE,Family,Corporate,186.12,0,558.36
310,2025-10-10,5,48,1,2,UAE,Suite,Direct,219.36,0,1096.8
311,2026-03-20,13,116,3,0,Turkey,Standard,Direct,80.18,0,1042.34
312,2026-05-26,11,37,2,0,Turkey,Suite,OTA,187.84,0,2066.24
313,2025-11-07,8,73,1,0,Spain,Family,Direct,166.0,0,1328.0
314,2025-08-11,5,151,1,0,Portugal,Deluxe,Direct,131.8,0,659.0
315,2026-03-17,6,169,1,0,Turkey,Superior,Travel Agency,139.82,0,838.92
316,2025-10-18,13,128,4,2,France,Standard,Travel Agency,48.55,0,631.15
317,2025-05-27,12,50,2,2,Italy,Deluxe,OTA,146.45,0,1757.4
318,2025-02-02,8,90,2,1,Egypt,Family,Direct,183.47,0,1467.76
319,2025-09-25,5,152,2,0,Egypt,Deluxe,OTA,175.74,0,878.7
320,2025-07-24,5,34,2,2,Greece,Deluxe,Travel Agency,171.81,0,859.05
321,2025-03-29,5,145,4,1,France,Family,Corporate,173.38,1,0.0
322,2025-04-09,3,134,2,0,UAE,Family,Travel Agency,176.82,0,530.46
323,2026-03-14,8,107,2,1,Spain,Suite,Direct,269.79,0,2158.32
324,2026-03-08,2,35,3,0,Greece,Suite,Travel Agency,237.91,0,475.82
325,2025-05-11,10,139,3,0,Spain,Family,OTA,179.47,1,0.0
326,2026-02-17,11,1,2,2,Portugal,Standard,Direct,110.73,0,1218.03
327,2025-02-26,5,166,1,0,Italy,Deluxe,Corporate,212.13,0,1060.65
328,2025-12-06,14,15,1,2,Spain,Superior,OTA,116.62,0,1632.68
329,2026-05-23,3,57,4,0,Turkey,Deluxe,Direct,163.33,1,0.0
330,2026-05-12,10,176,2,0,Italy,Standard,OTA,100.99,0,1009.9
331,2025-05-04,9,24,2,0,Italy,Family,Direct,205.45,0,1849.05
332,2026-06-02,8,100,1,0,Turkey,Family,Corporate,201.43,0,1611.44
333,2025-07-08,14,60,3,0,Portugal,Suite,Direct,225.71,0,3159.94
334,2026-03-19,3,162,1,0,France,Superior,OTA,118.32,0,354.96
335,2026-06-08,12,179,3,0,Portugal,Family,Travel Agency,201.63,0,2419.56
336,2025-10-24,11,25,3,1,UAE,Deluxe,Corporate,186.32,0,2049.52
337,2026-01-31,12,27,2,1,Egypt,Superior,Direct,106.49,0,1277.88
338,2025-10-18,8,30,3,1,Spain,Suite,Travel Agency,247.69,0,1981.52
339,2025-02-04,11,166,4,2,Portugal,Standard,Travel Agency,90.6,0,996.6
340,2025-05-23,8,117,2,0,France,Deluxe,OTA,150.99,0,1207.92
341,2025-12-24,12,134,2,2,Italy,Superior,OTA,117.03,0,1404.36
342,2025-12-27,11,144,2,1,France,Deluxe,Travel Agency,96.69,0,1063.59
