Booking_ID,Booking_Date,Destination,Channel,Booking_Type,Customer_Segment,Supplier,Quantity,Revenue_EUR,Cost_EUR,Status,Profit_EUR,Month,Cancellation_Flag,Year,Month_Name,Month_Number
B0037,2025-06-11,Spain,B2C,Flight,Leisure,Supplier E,1,320.46,248.4,Confirmed,72.06,2025-06,0,2025,Jun,6
B0038,2025-08-29,Egypt,B2C,Flight,Leisure,Supplier E,1,298.98,215.74,Confirmed,83.24,2025-08,0,2025,Aug,8
B0039,2026-03-06,Azerbaijan,B2B,Package,Business,Supplier C,1,1193.55,946.94,Completed,246.61,2026-03,0,2026,Mar,3
B0040,2025-09-29,Egypt,B2B,Hotel,Couple,Supplier C,1,601.09,460.11,Completed,140.98,2025-09,0,2025,Sep,9
B0041,2025-01-10,Portugal,B2C,Flight,Business,Supplier E,1,148.08,111.25,Confirmed,36.83,2025-01,0,2025,Jan,1
B0042,2025-05-16,UAE,B2C,Flight,Family,Supplier C,1,317.62,257.18,Confirmed,60.44,2025-05,0,2025,May,5
B0043,2026-03-25,Thailand,B2C,Package,Family,Supplier A,1,1182.67,858.71,Confirmed,323.96,2026-03,0,2026,Mar,3
B0044,2025-09-28,Italy,B2C,Flight,Family,Supplier C,3,1041.06,913.44,Confirmed,127.62,2025-09,0,2025,Sep,9
B0045,2025-08-04,UAE,B2B,Hotel,Couple,Supplier C,1,712.79,529.44,Completed,183.35,2025-08,0,2025,Aug,8
B0046,2025-04-05,Egypt,B2C,Package,Leisure,Supplier C,1,1513.18,1159.4,Cancelled,353.78,2025-04,1,2025,Apr,4
B0047,2025-09-26,France,B2B,Transfer,Leisure,Supplier A,1,110.61,79.22,Completed,31.39,2025-09,0,2025,Sep,9
B0048,2025-06-02,Thailand,B2B,Flight,Business,Supplier D,1,516.26,391.19,Confirmed,125.07,2025-06,0,2025,Jun,6
B0049,2025-02-12,Turkey,B2C,Package,Family,Supplier B,1,1284.88,1056.12,Confirmed,228.76,2025-02,0,2025,Feb,2
B0050,2025-04-16,UAE,B2C,Transfer,Business,Supplier B,1,81.61,64.65,Confirmed,16.96,2025-04,0,2025,Apr,4
B0051,2026-02-27,Spain,B2B,Hotel,Couple,Supplier B,1,379.38,312.75,Confirmed,66.63,2026-02,0,2026,Feb,2
B0052,2025-06-13,Italy,B2C,Transfer,Couple,Supplier B,1,107.6,93.46,Confirmed,14.14,2025-06,0,2025,Jun,6
B0053,2026-04-17,UAE,B2C,Package,Business,Supplier A,1,975.86,845.53,Completed,130.33,2026-04,0,2026,Apr,4
B0054,2026-02-13,UAE,B2C,Package,Family,Supplier C,3,3411.84,2546.7,Cancelled,865.14,2026-02,1,2026,Feb,2
B0055,2026-02-14,Thailand,B2C,Package,Leisure,Supplier C,1,1329.61,1057.49,Confirmed,272.12,2026-02,0,2026,Feb,2
B0056,2025-09-29,Spain,B2B,Flight,Family,Supplier C,2,874.24,626.62,Completed,247.62,2025-09,0,2025,Sep,9
B0057,2026-06-08,Italy,B2C,Transfer,Family,Supplier A,2,203.83,155.12,Confirmed,48.71,2026-06,0,2026,Jun,6
B0058,2025-01-02,Thailand,B2B,Hotel,Couple,Supplier A,1,658.21,546.76,Completed,111.45,2025-01,0,2025,Jan,1
B0059,2025-11-18,Italy,B2B,Package,Couple,Supplier C,2,2675.34,2181.92,Confirmed,493.42,2025-11,0,2025,Nov,11
B0060,2025-10-30,Thailand,B2C,Hotel,Couple,Supplier D,1,592.38,431.9,Completed,160.48,2025-10,0,2025,Oct,10
B0061,2025-11-05,Egypt,B2B,Flight,Family,Supplier B,2,692.52,485.39,Confirmed,207.13,2025-11,0,2025,Nov,11
B0062,2025-11-26,Portugal,B2B,Transfer,Business,Supplier E,2,152.0,121.41,Completed,30.59,2025-11,0,2025,Nov,11
B0063,2025-06-23,Italy,B2B,Package,Leisure,Supplier B,1,833.04,689.92,Confirmed,143.12,2025-06,0,2025,Jun,6
B0064,2025-08-19,Greece,B2C,Hotel,Leisure,Supplier B,2,1278.54,969.86,Completed,308.68,2025-08,0,2025,Aug,8
B0065,2025-03-16,Portugal,B2C,Transfer,Couple,Supplier D,2,241.25,197.43,Cancelled,43.82,2025-03,1,2025,Mar,3
B0066,2025-09-07,France,B2C,Flight,Couple,Supplier B,1,356.99,255.91,Confirmed,101.08,2025-09,0,2025,Sep,9
B0067,2026-06-15,Portugal,B2C,Flight,Leisure,Supplier D,1,240.3,210.3,Confirmed,30.0,2026-06,0,2026,Jun,6
B0068,2026-04-21,Thailand,B2B,Package,Couple,Supplier E,2,1928.93,1659.98,Cancelled,268.95,2026-04,1,2026,Apr,4
B0069,2025-06-12,Portugal,B2B,Transfer,Business,Supplier C,3,286.04,229.93,Confirmed,56.11,2025-06,0,2025,Jun,6
B0070,2026-05-12,Greece,B2B,Package,Leisure,Supplier C,1,1758.74,1292.93,Completed,465.81,2026-05,0,2026,May,5
B0071,2025-10-06,UAE,B2C,Package,Business,Supplier B,1,875.19,760.79,Completed,114.4,2025-10,0,2025,Oct,10
B0072,2026-01-28,France,B2C,Hotel,Couple,Supplier D,1,612.95,530.0,Confirmed,82.95,2026-01,0,2026,Jan,1
B0073,2026-04-23,Egypt,B2C,Flight,Couple,Supplier D,3,1087.21,949.63,Completed,137.58,2026-04,0,2026,Apr,4
B0074,2025-01-21,Azerbaijan,B2B,Transfer,Leisure,Supplier C,1,93.06,70.07,Confirmed,22.99,2025-01,0,2025,Jan,1
B0075,2026-02-04,Egypt,B2B,Hotel,Business,Supplier C,2,944.97,690.31,Cancelled,254.66,2026-02,1,2026,Feb,2
B0076,2026-05-13,Spain,B2B,Transfer,Couple,Supplier B,2,235.56,204.59,Completed,30.97,2026-05,0,2026,May,5
B0077,2025-05-11,Azerbaijan,B2B,Flight,Leisure,Supplier A,2,481.61,390.44,Completed,91.17,2025-05,0,2025,May,5
B0078,2025-05-19,Portugal,B2C,Hotel,Family,Supplier D,1,563.24,408.47,Confirmed,154.77,2025-05,0,2025,May,5
B0079,2025-08-05,Portugal,B2B,Package,Couple,Supplier C,2,2750.45,2270.39,Completed,480.06,2025-08,0,2025,Aug,8
B0080,2025-09-16,Italy,B2C,Transfer,Leisure,Supplier C,1,109.92,84.06,Confirmed,25.86,2025-09,0,2025,Sep,9
B0081,2025-03-12,Spain,B2C,Flight,Business,Supplier A,3,1098.44,940.34,Completed,158.1,2025-03,0,2025,Mar,3
B0082,2025-06-06,Greece,B2B,Hotel,Leisure,Supplier E,1,617.68,489.23,Confirmed,128.45,2025-06,0,2025,Jun,6
B0083,2026-04-22,Turkey,B2C,Package,Leisure,Supplier B,1,1449.81,1198.06,Completed,251.75,2026-04,0,2026,Apr,4
B0084,2025-04-21,Azerbaijan,B2B,Flight,Couple,Supplier D,1,421.75,362.79,Confirmed,58.96,2025-04,0,2025,Apr,4
B0085,2025-03-19,Azerbaijan,B2C,Hotel,Family,Supplier E,1,423.15,340.25,Confirmed,82.9,2025-03,0,2025,Mar,3
B0086,2025-02-12,UAE,B2B,Transfer,Leisure,Supplier E,1,88.7,69.52,Confirmed,19.18,2025-02,0,2025,Feb,2
B0087,2025-01-13,Egypt,B2C,Transfer,Couple,Supplier C,2,226.51,159.8,Confirmed,66.71,2025-01,0,2025,Jan,1
B0088,2025-06-06,Egypt,B2B,Hotel,Couple,Supplier D,2,592.31,502.32,Confirmed,89.99,2025-06,0,2025,Jun,6
B0089,2025-10-02,UAE,B2C,Hotel,Family,Supplier D,1,549.72,460.99,Confirmed,88.73,2025-10,0,2025,Oct,10
B0090,2026-04-21,Azerbaijan,B2B,Transfer,Leisure,Supplier D,1,66.33,53.87,Confirmed,12.46,2026-04,0,2026,Apr,4
B0091,2025-07-06,Portugal,B2B,Hotel,Family,Supplier C,1,546.89,436.04,Cancelled,110.85,2025-07,1,2025,Jul,7
B0092,2025-10-10,Thailand,B2C,Flight,Leisure,Supplier B,2,523.23,434.65,Completed,88.58,2025-10,0,2025,Oct,10
B0093,2026-05-16,Thailand,B2B,Hotel,Couple,Supplier D,1,233.8,197.12,Confirmed,36.68,2026-05,0,2026,May,5
B0094,2025-04-06,Turkey,B2B,Hotel,Business,Supplier C,3,1704.58,1327.89,Confirmed,376.69,2025-04,0,2025,Apr,4
B0095,2026-01-13,Portugal,B2B,Package,Family,Supplier C,2,2853.49,2207.49,Confirmed,646.0,2026-01,0,2026,Jan,1
B0096,2025-10-05,Turkey,B2C,Package,Leisure,Supplier B,1,1553.01,1130.84,Confirmed,422.17,2025-10,0,2025,Oct,10
B0097,2025-05-03,Thailand,B2C,Hotel,Business,Supplier D,1,806.94,660.75,Confirmed,146.19,2025-05,0,2025,May,5
B0098,2026-06-22,Azerbaijan,B2C,Package,Business,Supplier C,1,1391.74,1213.42,Completed,178.32,2026-06,0,2026,Jun,6
B0099,2026-01-05,France,B2C,Package,Business,Supplier C,1,1992.75,1545.43,Confirmed,447.32,2026-01,0,2026,Jan,1
B0100,2025-02-25,Thailand,B2C,Package,Couple,Supplier A,1,1611.36,1231.2,Completed,380.16,2025-02,0,2025,Feb,2
B0101,2025-10-19,Portugal,B2B,Transfer,Family,Supplier B,1,106.81,83.88,Confirmed,22.93,2025-10,0,2025,Oct,10
B0102,2025-09-16,Portugal,B2C,Flight,Couple,Supplier D,1,389.41,307.05,Confirmed,82.36,2025-09,0,2025,Sep,9
B0103,2025-02-24,France,B2B,Hotel,Leisure,Supplier B,1,501.81,387.26,Cancelled,114.55,2025-02,1,2025,Feb,2
B0104,2026-03-03,Azerbaijan,B2B,Hotel,Couple,Supplier D,1,351.34,286.1,Confirmed,65.24,2026-03,0,2026,Mar,3
B0105,2026-03-16,Turkey,B2C,Flight,Business,Supplier B,1,449.14,355.07,Completed,94.07,2026-03,0,2026,Mar,3
B0106,2025-03-25,France,B2C,Hotel,Leisure,Supplier B,1,322.9,264.31,Confirmed,58.59,2025-03,0,2025,Mar,3
B0107,2026-02-23,Portugal,B2B,Transfer,Leisure,Supplier B,1,100.29,70.68,Cancelled,29.61,2026-02,1,2026,Feb,2
B0108,2025-10-17,Portugal,B2C,Flight,Family,Supplier E,1,266.22,231.41,Cancelled,34.81,2025-10,1,2025,Oct,10
B0109,2026-03-12,Italy,B2C,Hotel,Family,Supplier B,1,779.81,610.19,Confirmed,169.62,2026-03,0,2026,Mar,3
B0110,2025-03-03,France,B2B,Package,Couple,Supplier A,2,1633.53,1420.29,Confirmed,213.24,2025-03,0,2025,Mar,3
B0111,2025-11-08,Egypt,B2B,Package,Couple,Supplier A,3,4045.04,2883.36,Confirmed,1161.68,2025-11,0,2025,Nov,11
B0112,2025-02-10,Egypt,B2B,Package,Leisure,Supplier A,1,1032.06,879.4,Confirmed,152.66,2025-02,0,2025,Feb,2
B0113,2025-01-22,Turkey,B2C,Flight,Couple,Supplier E,2,534.39,385.44,Completed,148.95,2025-01,0,2025,Jan,1
B0114,2025-10-12,France,B2B,Transfer,Leisure,Supplier D,1,117.6,95.63,Completed,21.97,2025-10,0,2025,Oct,10
B0115,2026-02-23,UAE,B2C,Package,Business,Supplier C,2,3069.0,2304.1,Confirmed,764.9,2026-02,0,2026,Feb,2
B0116,2026-05-23,Turkey,B2C,Transfer,Couple,Supplier A,1,111.75,93.32,Completed,18.43,2026-05,0,2026,May,5
B0117,2025-09-16,UAE,B2B,Flight,Leisure,Supplier E,2,636.25,487.98,Completed,148.27,2025-09,0,2025,Sep,9
B0118,2026-02-28,Spain,B2B,Hotel,Couple,Supplier D,1,557.74,424.63,Completed,133.11,2026-02,0,2026,Feb,2
B0119,2025-07-28,Turkey,B2B,Hotel,Couple,Supplier D,1,507.09,423.5,Completed,83.59,2025-07,0,2025,Jul,7
B0120,2025-01-30,Azerbaijan,B2C,Hotel,Family,Supplier E,1,706.14,507.41,Completed,198.73,2025-01,0,2025,Jan,1
B0121,2026-02-22,Italy,B2C,Hotel,Couple,Supplier A,1,737.39,558.65,Completed,178.74,2026-02,0,2026,Feb,2
B0122,2026-05-26,Turkey,B2B,Package,Couple,Supplier D,1,1257.35,968.23,Confirmed,289.12,2026-05,0,2026,May,5
B0123,2026-04-13,Thailand,B2B,Hotel,Business,Supplier E,3,1767.04,1539.28,Cancelled,227.76,2026-04,1,2026,Apr,4
B0124,2025-05-20,Italy,B2B,Package,Family,Supplier E,1,1204.45,980.1,Confirmed,224.35,2025-05,0,2025,May,5
B0125,2025-01-03,Turkey,B2B,Package,Business,Supplier D,3,2693.68,2211.65,Completed,482.03,2025-01,0,2025,Jan,1
B0126,2026-05-11,UAE,B2B,Package,Couple,Supplier C,1,825.03,695.07,Completed,129.96,2026-05,0,2026,May,5
B0127,2025-09-02,Azerbaijan,B2C,Transfer,Couple,Supplier A,1,94.67,67.25,Confirmed,27.42,2025-09,0,2025,Sep,9
B0128,2026-04-30,Egypt,B2C,Transfer,Couple,Supplier A,1,71.13,55.44,Completed,15.69,2026-04,0,2026,Apr,4
B0129,2026-05-30,Azerbaijan,B2C,Package,Couple,Supplier A,3,2883.23,2092.47,Completed,790.76,2026-05,0,2026,May,5
B0130,2026-04-13,Spain,B2B,Hotel,Business,Supplier A,2,982.81,797.33,Confirmed,185.48,2026-04,0,2026,Apr,4
B0131,2025-09-29,UAE,B2C,Transfer,Family,Supplier E,2,203.03,144.78,Completed,58.25,2025-09,0,2025,Sep,9
B0132,2025-11-21,Portugal,B2C,Flight,Business,Supplier C,1,274.58,227.11,Confirmed,47.47,2025-11,0,2025,Nov,11
B0133,2025-04-03,Egypt,B2C,Flight,Couple,Supplier B,1,190.25,161.01,Completed,29.24,2025-04,0,2025,Apr,4
B0134,2025-01-30,Spain,B2C,Package,Family,Supplier C,1,757.39,664.59,Completed,92.8,2025-01,0,2025,Jan,1
B0135,2026-03-18,France,B2B,Hotel,Business,Supplier B,1,431.37,362.3,Cancelled,69.07,2026-03,1,2026,Mar,3
B0136,2025-03-22,Azerbaijan,B2C,Transfer,Couple,Supplier E,1,89.32,69.34,Completed,19.98,2025-03,0,2025,Mar,3
B0137,2025-08-26,Portugal,B2B,Package,Family,Supplier A,2,2486.69,1745.76,Confirmed,740.93,2025-08,0,2025,Aug,8
B0138,2025-10-22,Thailand,B2C,Hotel,Couple,Supplier C,3,1165.25,827.48,Confirmed,337.77,2025-10,0,2025,Oct,10
B0139,2025-11-03,Egypt,B2B,Package,Family,Supplier B,2,2725.9,2274.19,Cancelled,451.71,2025-11,1,2025,Nov,11
B0140,2026-05-10,Italy,B2B,Hotel,Family,Supplier E,1,414.92,362.3,Confirmed,52.62,2026-05,0,2026,May,5
B0141,2025-10-30,Spain,B2B,Transfer,Leisure,Supplier E,1,113.36,83.91,Completed,29.45,2025-10,0,2025,Oct,10
B0142,2026-05-24,Turkey,B2B,Hotel,Business,Supplier B,3,1438.01,1009.75,Completed,428.26,2026-05,0,2026,May,5
B0143,2025-09-14,France,B2C,Flight,Family,Supplier D,1,340.08,242.57,Cancelled,97.51,2025-09,1,2025,Sep,9
B0144,2026-01-09,France,B2B,Flight,Family,Supplier D,1,321.13,280.82,Confirmed,40.31,2026-01,0,2026,Jan,1
B0145,2025-07-25,France,B2B,Package,Business,Supplier C,2,3515.8,2748.71,Cancelled,767.09,2025-07,1,2025,Jul,7
B0146,2025-10-30,UAE,B2B,Flight,Leisure,Supplier B,1,405.95,326.86,Completed,79.09,2025-10,0,2025,Oct,10
B0147,2026-02-11,Thailand,B2C,Package,Couple,Supplier A,1,2016.43,1512.18,Confirmed,504.25,2026-02,0,2026,Feb,2
B0148,2025-05-07,Portugal,B2B,Package,Couple,Supplier C,1,967.1,757.69,Confirmed,209.41,2025-05,0,2025,May,5
B0149,2025-08-28,Portugal,B2B,Flight,Business,Supplier A,2,503.96,441.16,Completed,62.8,2025-08,0,2025,Aug,8
B0150,2025-11-06,Egypt,B2C,Flight,Leisure,Supplier A,1,333.48,275.34,Confirmed,58.14,2025-11,0,2025,Nov,11
B0151,2026-05-20,Italy,B2C,Flight,Business,Supplier D,2,810.32,667.1,Confirmed,143.22,2026-05,0,2026,May,5
B0152,2026-01-15,Thailand,B2C,Transfer,Couple,Supplier A,2,159.31,137.64,Completed,21.67,2026-01,0,2026,Jan,1
B0153,2026-02-22,Turkey,B2B,Flight,Business,Supplier D,2,403.41,350.12,Completed,53.29,2026-02,0,2026,Feb,2
B0154,2025-08-30,UAE,B2B,Flight,Family,Supplier A,2,968.2,685.62,Confirmed,282.58,2025-08,0,2025,Aug,8
B0155,2025-10-10,Greece,B2B,Flight,Leisure,Supplier B,3,1277.03,1120.86,Confirmed,156.17,2025-10,0,2025,Oct,10
B0156,2025-01-22,Spain,B2C,Package,Business,Supplier E,1,1085.79,876.17,Confirmed,209.62,2025-01,0,2025,Jan,1
B0157,2025-03-12,Thailand,B2C,Hotel,Business,Supplier C,1,522.68,404.9,Confirmed,117.78,2025-03,0,2025,Mar,3
B0158,2025-01-03,Turkey,B2C,Hotel,Family,Supplier B,1,727.16,516.39,Completed,210.77,2025-01,0,2025,Jan,1
B0159,2025-01-27,France,B2B,Flight,Business,Supplier E,1,320.47,268.69,Completed,51.78,2025-01,0,2025,Jan,1
B0160,2025-01-17,France,B2C,Package,Business,Supplier D,3,3799.33,3240.59,Confirmed,558.74,2025-01,0,2025,Jan,1
B0161,2025-04-27,Italy,B2B,Transfer,Family,Supplier E,3,199.8,174.17,Cancelled,25.63,2025-04,1,2025,Apr,4
B0162,2025-04-22,Portugal,B2C,Hotel,Family,Supplier D,1,518.47,384.27,Completed,134.2,2025-04,0,2025,Apr,4
B0163,2025-03-04,Portugal,B2B,Transfer,Leisure,Supplier D,2,108.39,78.09,Completed,30.3,2025-03,0,2025,Mar,3
B0164,2025-03-17,Italy,B2C,Package,Leisure,Supplier B,1,1697.19,1346.98,Completed,350.21,2025-03,0,2025,Mar,3
B0165,2025-11-29,Egypt,B2B,Package,Couple,Supplier A,1,1662.75,1329.11,Cancelled,333.64,2025-11,1,2025,Nov,11
B0166,2025-08-09,Egypt,B2C,Transfer,Couple,Supplier C,2,193.59,166.06,Confirmed,27.53,2025-08,0,2025,Aug,8
B0167,2026-02-13,Egypt,B2B,Flight,Couple,Supplier C,1,377.83,312.37,Confirmed,65.46,2026-02,0,2026,Feb,2
B0168,2026-01-19,France,B2C,Transfer,Leisure,Supplier A,1,131.41,95.21,Confirmed,36.2,2026-01,0,2026,Jan,1
B0169,2026-03-19,Italy,B2C,Package,Leisure,Supplier E,3,4861.35,3746.18,Confirmed,1115.17,2026-03,0,2026,Mar,3
B0170,2025-12-04,Italy,B2B,Transfer,Couple,Supplier A,1,48.22,41.6,Confirmed,6.62,2025-12,0,2025,Dec,12
B0171,2025-11-16,UAE,B2C,Flight,Business,Supplier D,1,454.61,350.68,Cancelled,103.93,2025-11,1,2025,Nov,11
B0172,2025-04-21,UAE,B2C,Package,Family,Supplier E,1,1275.93,1091.21,Completed,184.72,2025-04,0,2025,Apr,4
B0173,2026-03-16,Thailand,B2B,Flight,Leisure,Supplier B,1,167.38,131.0,Completed,36.38,2026-03,0,2026,Mar,3
B0174,2025-11-13,UAE,B2C,Package,Business,Supplier B,3,3691.67,2911.51,Confirmed,780.16,2025-11,0,2025,Nov,11
B0175,2026-02-15,Italy,B2C,Hotel,Leisure,Supplier E,1,342.76,244.61,Confirmed,98.15,2026-02,0,2026,Feb,2
B0176,2026-01-21,Egypt,B2B,Transfer,Business,Supplier C,1,112.81,81.57,Confirmed,31.24,2026-01,0,2026,Jan,1
B0177,2025-11-29,Azerbaijan,B2C,Flight,Business,Supplier B,3,1058.54,775.63,Confirmed,282.91,2025-11,0,2025,Nov,11
B0178,2025-02-20,Italy,B2B,Package,Couple,Supplier D,3,2763.13,2380.22,Confirmed,382.91,2025-02,0,2025,Feb,2
B0179,2026-03-29,Egypt,B2C,Package,Leisure,Supplier C,2,1809.99,1329.64,Confirmed,480.35,2026-03,0,2026,Mar,3
B0180,2025-04-24,Turkey,B2B,Transfer,Leisure,Supplier B,2,216.82,158.37,Confirmed,58.45,2025-04,0,2025,Apr,4
B0181,2025-02-26,Spain,B2B,Hotel,Business,Supplier B,1,523.82,386.13,Confirmed,137.69,2025-02,0,2025,Feb,2
B0182,2025-10-24,UAE,B2C,Flight,Couple,Supplier D,1,227.24,179.66,Completed,47.58,2025-10,0,2025,Oct,10
B0183,2025-05-13,Egypt,B2B,Hotel,Leisure,Supplier D,1,434.2,372.22,Completed,61.98,2025-05,0,2025,May,5
B0184,2026-03-23,Spain,B2C,Transfer,Family,Supplier E,2,201.38,143.18,Confirmed,58.2,2026-03,0,2026,Mar,3
B0185,2026-02-19,Egypt,B2C,Package,Couple,Supplier A,1,1464.96,1074.13,Confirmed,390.83,2026-02,0,2026,Feb,2
B0186,2025-06-25,Azerbaijan,B2B,Transfer,Leisure,Supplier D,1,115.15,88.28,Confirmed,26.87,2025-06,0,2025,Jun,6
B0187,2025-09-07,Egypt,B2C,Transfer,Couple,Supplier C,1,54.7,42.84,Completed,11.86,2025-09,0,2025,Sep,9
B0188,2025-08-15,UAE,B2C,Hotel,Leisure,Supplier E,3,2240.01,1582.8,Confirmed,657.21,2025-08,0,2025,Aug,8
B0189,2025-07-18,UAE,B2C,Package,Business,Supplier A,1,1451.79,1149.97,Confirmed,301.82,2025-07,0,2025,Jul,7
B0190,2025-09-20,Greece,B2C,Hotel,Leisure,Supplier B,2,1174.12,844.53,Confirmed,329.59,2025-09,0,2025,Sep,9
B0191,2026-04-21,Azerbaijan,B2B,Transfer,Family,Supplier B,2,104.54,78.24,Confirmed,26.3,2026-04,0,2026,Apr,4
B0192,2025-03-11,Portugal,B2B,Transfer,Family,Supplier E,1,100.41,70.65,Confirmed,29.76,2025-03,0,2025,Mar,3
B0193,2025-12-27,Thailand,B2B,Flight,Couple,Supplier D,1,262.07,189.1,Completed,72.97,2025-12,0,2025,Dec,12
B0194,2025-02-28,UAE,B2C,Package,Leisure,Supplier E,3,2614.37,2109.4,Completed,504.97,2025-02,0,2025,Feb,2
B0195,2026-06-04,Egypt,B2C,Transfer,Couple,Supplier E,1,94.79,67.84,Confirmed,26.95,2026-06,0,2026,Jun,6
B0196,2025-11-26,Azerbaijan,B2C,Transfer,Leisure,Supplier D,1,134.37,108.25,Completed,26.12,2025-11,0,2025,Nov,11
B0197,2025-12-18,Italy,B2C,Hotel,Business,Supplier D,2,766.34,575.58,Confirmed,190.76,2025-12,0,2025,Dec,12
B0198,2026-06-21,Thailand,B2B,Hotel,Family,Supplier C,2,1022.44,834.58,Cancelled,187.86,2026-06,1,2026,Jun,6
